,feature_id,map_name,database_name,state,similarity,,,,,,,,,,,,,,,,,,,,
13267,200070,Copper River School District,,AK,0.444444444,,,,,,,,,,,,,,,,,,,,
13283,200360,Kake City School District,,AK,0.6,,,,,,,,,,,,,,,,,,,,
13284,200660,Petersburg Borough School District,,AK,0.545454546,,,,,,,,,,,,,,,,,,,,
13285,200810,Wrangell School District,,AK,0.484848485,,,,,,,,,,,,,,,,,,,,
13286,200480,Kodiak Island Borough School District,,AK,0.510638298,,,,,,,,,,,,,,,,,,,,
13287,200485,Lake and Peninsula Borough School District,,AK,0.461538462,,,,,,,,,,,,,,,,,,,,
13288,200510,Matanuska-Susitna Borough School District,Matanuska-Susitna Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13289,200520,Iditarod Area School District,,AK,0.45945946,,,,,,,,,,,,,,,,,,,,
13290,200525,Annette Island School District,,AK,0.45,,,,,,,,,,,,,,,,,,,,
13291,200540,Nenana City School District,,AK,0.567567568,,,,,,,,,,,,,,,,,,,,
13292,200862,Yukon-Koyukuk School District,,AK,0.421052632,,,,,,,,,,,,,,,,,,,,
13293,200570,Nome School District,,AK,0.551724138,,,,,,,,,,,,,,,,,,,,
13294,200600,Fairbanks North Star Borough School District,Fairbanks North Star Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13295,200610,North Slope Borough School District,North Slope Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13296,200625,Northwest Arctic Borough School District,Northwest Arctic Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13297,200630,Pelican City School District,Pelican City School District,AK,1,,,,,,,,,,,,,,,,,,,,
13298,200670,Pribilof School District,,AK,0.484848485,,,,,,,,,,,,,,,,,,,,
13299,200680,St. Marys City School District,,AK,,,,,,,,,,,,,,,,,,,,,
13300,200690,Skagway School District,,AK,0.548387097,,,,,,,,,,,,,,,,,,,,
13301,200700,Southeast Island School District,,AK,0.425,,,,,,,,,,,,,,,,,,,,
13302,200715,Tanana City School District,,AK,0.583333333,,,,,,,,,,,,,,,,,,,,
13303,200720,Unalaska City School District,,AK,0.538461539,,,,,,,,,,,,,,,,,,,,
13304,200730,Chatham School District,,AK,,,,,,,,,,,,,,,,,,,,,
13305,200760,Kuspuk School District,,AK,0.516129032,,,,,,,,,,,,,,,,,,,,
13306,200770,Denali Borough School District,Denali Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13307,200780,Valdez City School District,,AK,0.567567568,,,,,,,,,,,,,,,,,,,,
13281,200330,Hydaburg City School District,Hydaburg City School District,AK,1,,,,,,,,,,,,,,,,,,,,
13280,200300,Hoonah City School District,Hoonah City School District,AK,1,,,,,,,,,,,,,,,,,,,,
13282,200450,Klawock City School District,,AK,0.552631579,,,,,,,,,,,,,,,,,,,,
13278,200240,Sitka School District,Sitka School District,AK,1,,,,,,,,,,,,,,,,,,,,
13308,200010,Aleutian Region School District,,AK,0.489795918,,,,,,,,,,,,,,,,,,,,
13256,200001,Lower Kuskokwim School District,,AK,0.4,,,,,,,,,,,,,,,,,,,,
13257,200003,Lower Yukon School District,,AK,0.444444444,,,,,,,,,,,,,,,,,,,,
13258,200004,Yupiit School District,,AK,0.516129032,,,,,,,,,,,,,,,,,,,,
13259,200840,Yakutat School District,,AK,0.5,,,,,,,,,,,,,,,,,,,,
13260,200005,Kashunamiut School District,,AK,0.444444444,,,,,,,,,,,,,,,,,,,,
13261,200007,Aleutians East Borough School District,Aleutians East Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13262,200020,Bering Strait School District,,AK,0.421052632,,,,,,,,,,,,,,,,,,,,
13263,200030,Bristol Bay Borough School District,,AK,0.558139535,,,,,,,,,,,,,,,,,,,,
13279,200270,Haines Borough School District,,AK,0.6,,,,,,,,,,,,,,,,,,,,
13265,200060,Cordova City School District,,AK,0.552631579,,,,,,,,,,,,,,,,,,,,
13266,200800,Chugach School District,,AK,0.5,,,,,,,,,,,,,,,,,,,,
13264,200050,Alaska Gateway School District,,AK,0.447368421,,,,,,,,,,,,,,,,,,,,
13268,200775,Yukon Flats School District,,AK,0.444444444,,,,,,,,,,,,,,,,,,,,
13277,200210,Juneau Borough School District,,AK,0.696969697,,,,,,,,,,,,,,,,,,,,
13275,200180,Anchorage School District,Anchorage School District,AK,1,,,,,,,,,,,,,,,,,,,,
13274,200150,Ketchikan Gateway Borough School District,Ketchikan Gateway Borough School District,AK,1,,,,,,,,,,,,,,,,,,,,
13273,200130,Galena City School District,,AK,0.567567568,,,,,,,,,,,,,,,,,,,,
13276,200390,Kenai Peninsula Borough School District,,AK,0.520833333,,,,,,,,,,,,,,,,,,,,
13271,200100,Delta/Greely School District,Delta/Greely School District,AK,1,,,,,,,,,,,,,,,,,,,,
13270,200710,Southwest Region School District,,AK,0.425,,,,,,,,,,,,,,,,,,,,
13269,200090,Craig City School District,,AK,0.594594595,,,,,,,,,,,,,,,,,,,,
13272,200120,Dillingham City School District,Dillingham City School District,AK,1,,,,,,,,,,,,,,,,,,,,
8705,101050,Dale County School District,,AL,0.666666667,,,,,,,,,,,,,,,,,,,,
8704,101020,Cullman County School District,,AL,0.615384615,,,,,,,,,,,,,,,,,,,,
8709,101110,Dallas County School District,Dallas County Schools,AL,0.605263158,,,,,,,,,,,,,,,,,,,,
8703,100990,Cullman City School District,Cullman City Schools,AL,0.611111111,,,,,,,,,,,,,,,,,,,,
8706,101080,Daleville City School District,Daleville City School District,AL,1,,,,,,,,,,,,,,,,,,,,
8707,102640,Ozark City School District,,AL,0.617647059,,,,,,,,,,,,,,,,,,,,
8708,102730,Pickens County School District,,AL,,,,,,,,,,,,,,,,,,,,,
8710,102970,Selma City School District,Selma City School District,AL,1,,,,,,,,,,,,,,,,,,,,
8711,101170,Decatur City School District,,AL,,,,,,,,,,,,,,,,,,,,,
8712,102480,Morgan County School District,,AL,,,,,,,,,,,,,,,,,,,,,
8744,102370,Mobile County School District,Mobile County Public Schools,AL,0.631578947,,,,,,,,,,,,,,,,,,,,
8745,102400,Monroe County School District,,AL,,,,,,,,,,,,,,,,,,,,,
8746,102490,Mountain Brook City School District,Mountain Brook Schools,AL,0.488888889,,,,,,,,,,,,,,,,,,,,
8747,103430,Vestavia Hills City School District,Vestavia Hills City School District,AL,1,,,,,,,,,,,,,,,,,,,,
8748,102580,Opelika City School District,Opelika City Schools,AL,0.611111111,,,,,,,,,,,,,,,,,,,,
8749,102610,Opp City School District,Opp City Schools,AL,0.65625,,,,,,,,,,,,,,,,,,,,
8750,102650,Pell City City School District,Pell City School System,AL,0.666666667,,,,,,,,,,,,,,,,,,,,
8751,102700,Phenix City City School District,Phenix City Public Schools,AL,0.628571429,,,,,,,,,,,,,,,,,,,,
8752,102790,Pike County School District,Pike County Schools,AL,,,,,,,,,,,,,,,,,,,,,
8753,103330,Troy City School District,Troy City School District,AL,1,,,,,,,,,,,,,,,,,,,,
8754,102850,Roanoke City School District,,AL,0.583333333,,,,,,,,,,,,,,,,,,,,
8755,102880,Russell County School District,Russell County School District,AL,1,,,,,,,,,,,,,,,,,,,,
8756,102910,Russellville City School District,Russellville City Schools,AL,0.634146342,,,,,,,,,,,,,,,,,,,,
8757,102940,Scottsboro City School District,Scottsboro City School District,AL,1,,,,,,,,,,,,,,,,,,,,
8758,103030,Shelby County School District,Shelby County Schools,AL,,,,,,,,,,,,,,,,,,,,,
8759,103062,St. Clair County School District,St Clair County Schools,AL,0.585365854,,,,,,,,,,,,,,,,,,,,
8760,103090,Sumter County School District,,AL,,,,,,,,,,,,,,,,,,,,,
