States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation,PopulationDensity,DistrictCount
Alabama,$0.00,$0.00,$0.00,"$36,072.04",$0.00,"$13,498.00",$0.00,"$14,598.00",$0.00,$0.00,$0.00,$0.00,"$8,144.09","$1,865.72",$34.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$939.12,"$19,096.04",$0.00,$272.50,"$1,590.00",$0.00,$161.71,$0.00,"$6,990.00",$0.00,"$57,650.00",$0.00,"$8,303.55",$0.00,"$1,461.00",,$0.00,$0.00,"$108,045.00","$44,161.00","$253,035.00","$125,824.00","$126,216.00","$170,151.75","$160,781.50","$214,775.00","$793,663.00","$767,765.00",2870925.97,739716,$3.88,177
Alaska,$300.70,"$1,950.00",$0.00,$336.50,"$6,375.54",$0.00,$0.00,"$812,436.00",$0.00,$0.00,"$12,503.46","$5,177.12","$10,499.91","$1,052.19","$3,099.16",$0.00,$0.00,$0.00,$89.95,$0.00,$0.00,"$2,625.99",$0.00,"$16,987.53",$0.00,$0.00,"$1,225.00",$0.00,"$1,091.52",$0.00,"$8,143.88","$4,795.00",,$0.00,$0.00,$0.00,"$2,643.00","$11,446.00","$6,405.00","$21,939.00","$8,267.00",$79.99,"$5,750.36","$192,274.00",$0.00,"$19,072.00","$283,684.48","$230,791.00","$286,513.58","$186,818.00","$77,977.00",1400951.12,130963,$10.70,54
Arizona,"$22,698.73",$0.00,$0.00,"$54,095.00","$21,268.97",$0.00,$0.00,"$442,176.00",$0.00,"$1,206.13","$8,632.71",$0.00,"$14,250.29","$12,118.96","$4,265.47",$197.50,"$11,020.54",$0.00,"$1,021.52",$0.00,$0.00,$353.98,$0.00,$0.00,$730.64,"$1,406.32",$497.10,$0.00,"$3,995.00","$2,989.77","$24,597.71","$2,000.00","$4,710.70","$2,179.00","$6,840.00","$2,387.00","$11,783.00","$7,751.00",,"$21,939.00",$0.00,"$19,538.00","$26,509.00","$15,489.00","$88,639.00","$19,290.00","$161,098.91","$779,014.00","$355,065.00","$635,317.00","$330,417.00",2577250.25,1141511,$2.26,717
Arkansas,"$44,321.11","$378,478.76",$0.00,1820*,"$24,175.31","$1,998.00",$0.00,"$305,013.00",$0.00,"$3,385.53","$16,031.33",$0.00,"$18,646.28","$44,260.24","$4,585.70","$2,980.84",$170.00,$0.00,$144.02,"$3,500.00",$0.00,"$3,944.81","$2,935.21","$3,301.80","$2,837.10",1149.93*,"$1,276.23",$63.00,"$1,456.00","$1,172.00","$303,425.00",$0.00,"$15,648.00","$14,988.00","$9,477.00","$46,448.00","$32,382.00","$16,479.00",,"$21,939.00","$27,338.00","$78,136.00","$70,171.00","$153,383.00","$715,992.00","$41,477.00","$483,470.52","$430,245.00","$828,476.00","$590,636.00","$1,560,000.00",5550800.61,495291,$11.21,294
California,"$1,520,000.00","$1,293,986.26","$10,010,000.00","$336,531.90","$224,505.93","$109,838.39",$0.00,"$27,060,000.00","$19,013.00",,"$622,389.98","$1,187,299.00","$370,873.05","$393,627.31","$110,796.30","$19,787.80","$350,174.93","$21,494.05","$13,045.36","$536,607.50","$80,641.05","$51,050.01","$38,915.81","$32,919.05","$75,382.76","$183,662.45","$16,257.11","$174,336.00","$121,322.00","$80,661.00","$171,927.00","$418,985.00","$428,700.00","$374,386.00","$313,398.00","$282,962.00","$356,971.00","$432,608.00",,"$390,805.00","$420,950.00","$1,470,000.00","$1,330,000.00","$1,460,000.00","$1,290,000.00","$3,550,000.00","$4,700,000.00","$2,810,000.00","$7,750,000.00","$12,650,000.00","$15,220,000.00",60321947.52,6272734,$9.62,2174
Colorado,"$64,051.30","$61,841.47",$0.00,"$16,262.50","$5,995.35","$5,994.00",$0.00,"$2,380,000.00",$599.00,"$1,461.53","$45,439.64","$38,390.00","$18,938.76","$24,419.56",$0.00,$131.94,"$15,253.40",$0.00,$166.45,$0.00,"$15,111.18","$7,112.18",$0.00,$438.90,"$12,849.78","$2,030.80","$16,391.01",$0.00,"$1,852.95","$4,917.00","$11,493.00","$44,205.00","$24,098.00","$7,865.16","$205,032.00","$19,077.00","$14,999.00","$235,383.00","$46,132.00","$18,975.00","$9,591.00","$110,002.00","$130,407.00","$189,628.00","$192,692.00","$252,055.00","$516,316.69","$549,323.00","$995,358.00","$1,080,000.00","$1,140,000.00",5998135.93,911536,$6.58,270
Connecticut,$83.95,"$6,693.75",$0.00,"$10,339.00","$3,323.19","$1,698.00",$518.00,"$470,942.00",$0.00,$706.54,"$11,713.07",$0.00,"$5,647.17","$5,378.75","$4,365.48",$0.00,"$2,875.72","$1,396.00","$1,154.73",$0.00,$0.00,$0.00,$0.00,$916.30,$910.50,183.84*,"$2,300.62",$0.00,"$8,599.00",$150.00,$199.00,$0.00,"$20,075.00","$9,671.00","$3,073.00","$3,257.13","$19,106.00","$9,942.00","$26,211.00","$10,172.00","$15,294.00","$14,620.00","$58,349.00","$13,885.00","$14,511.00","$119,247.00","$362,758.07","$254,421.00","$369,567.00","$278,208.00","$520,686.00",2169366.08,526634,$4.12,204
District of Columbia,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,547.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,628.00",$0.00,$0.00,$0.00,$0.00,"$20,429.83","$28,341.00","$16,756.00",$0.00,"$82,288.00",149442.83,138405,$1.08,47
Delaware,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,497.00",$0.00,"$23,845.00","$2,718.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,885.00",$0.00,"$10,279.00",$0.00,"$4,594.00",$0.00,$0.00,$0.00,"$6,005.00","$2,448.00",$0.00,$0.00,"$24,121.00",$863.00,"$14,200.00",$0.00,"$50,474.00","$154,695.74","$402,353.00","$578,219.00","$252,838.00","$337,341.00",1848033.74,93741,$19.71,68
Florida,"$2,754.00","$2,754,276.43","$28,695.00","$92,933.00","$46,808.04","$13,739.00",$0.00,"$5,210,000.00","$13,278.00",,"$76,485.30","$28,694.00","$131,254.47","$79,610.54","$27,856.00",$611.50,"$7,494.43","$2,287.47","$2,819.02","$14,000.00",$598.00,"$1,796.71","$1,374.99","$50,646.62","$14,060.66",13718.11*,"$21,462.84","$107,492.00","$13,492.00","$26,981.00","$65,278.00","$57,280.00","$220,960.00","$3,967.36","$83,134.00","$136,299.00","$68,165.00","$124,668.00",,"$202,891.00","$205,241.00","$307,717.00","$390,029.00","$377,703.00","$2,990,000.00","$1,640,000.00","$1,700,000.00","$5,790,000.00","$2,290,000.00","$6,340,000.00","$3,440,000.00",27055627.91,2846444,$9.51,76
